[28/5/2022 21:5:12] 
[28/5/2022 21:6:14] 
[28/5/2022 21:6:16] 
[28/5/2022 21:6:18] 
[28/5/2022 21:6:20] 
[28/5/2022 21:6:23] 
[28/5/2022 21:6:25] 
[28/5/2022 21:6:41] 
[28/5/2022 21:6:43] 
[28/5/2022 21:6:45] 
[28/5/2022 21:6:47] 
[28/5/2022 21:6:49] 
[28/5/2022 21:6:51] 
[28/5/2022 21:6:53] 
[28/5/2022 21:6:55] 
[28/5/2022 21:6:57] 
[28/5/2022 21:6:59] 
[28/5/2022 21:10:26] 
[28/5/2022 21:10:28] 
[28/5/2022 21:10:30] 
[28/5/2022 21:10:40] 
[28/5/2022 21:10:42] 
[28/5/2022 21:10:44] 
[28/5/2022 21:10:46] 
[28/5/2022 21:10:48] 
[28/5/2022 21:11:1] 
[28/5/2022 21:12:4] !emotespells on
[28/5/2022 21:12:41] 
[28/5/2022 21:12:44] 
[28/5/2022 21:13:6] 
[28/5/2022 21:14:10] 
[28/5/2022 21:15:18] 
[28/5/2022 21:15:20] 
[28/5/2022 21:15:46] 
[28/5/2022 21:15:48] 
[28/5/2022 21:17:34] 
[28/5/2022 21:17:36] 
[28/5/2022 21:17:53] 
[28/5/2022 21:17:55] 
[28/5/2022 21:18:7] 
[28/5/2022 21:18:9] 
[28/5/2022 21:18:11] 
[28/5/2022 21:18:13] 
[28/5/2022 21:18:15] 
[28/5/2022 21:18:17] 
[28/5/2022 21:18:32] 
[28/5/2022 21:18:34] 
[28/5/2022 21:18:37] 
[28/5/2022 21:18:39] 
[28/5/2022 21:18:41] 
[28/5/2022 21:19:12] 
[28/5/2022 21:19:14] 
[28/5/2022 21:19:17] 
[28/5/2022 21:19:20] 
[28/5/2022 21:19:22] 
[28/5/2022 21:19:24] 
[28/5/2022 21:19:59] !emotespells on
